"ingredientNO";"ingredientName";"qtyOnHand"
1;"Marshmallows";42
2;"vintejewi";691
3;"idi";745
4;"gu";672
5;"lutuccil";414
6;"eda";22
7;"hujkalo";432
8;"zaga";951
9;"danul";479
10;"duh";30
11;"egkorjaz";742
12;"sidmov";158
13;"nimucbam";491
14;"kena";608
15;"opsapov";34
16;"ziset";321
17;"gos";391
18;"gimha";314
19;"omani";14
20;"egkiam";793
21;"fe";532
22;"vubus";635
23;"nuregu";21
24;"dismodwi";455
25;"ocvip";789
26;"muk";697
27;"onmuznof";52
28;"haewsur";621
29;"nizihnaz";261
30;"al";166
31;"bivpavo";921
32;"litvaj";533
33;"hizi";8
34;"cifovpe";436
35;"cavo";734
36;"hik";196
37;"vim";591
38;"zamu";762
39;"sim";347
40;"ne";371
41;"levoztoh";734
42;"iv";4
43;"cudfivo";972
44;"nowro";47
45;"wakwoiv";829
46;"mopku";726
47;"fa";192
48;"cunuwu";485
49;"feljiv";737
50;"biwkaku";764
51;"vuozipo";156
52;"rickow";981
53;"gat";896
54;"teur";480
55;"kersabsu";372
56;"fag";81
57;"zeuma";931
58;"humnaze";798
59;"wevoteze";767
60;"cor";3
61;"muwgu";449
62;"wofwuzdi";7
63;"rinurse";612
64;"apopav";511
65;"bizazu";954
66;"lowrahpub";409
67;"vezijebi";168
68;"uhsid";130
69;"oz";39
70;"ceip";873
71;"rodpovow";154
72;"ejwimo";959
73;"fi";109
74;"iku";392
75;"bimjud";941
76;"nokofo";771
77;"tahip";89
78;"ifupaljez";595
79;"tut";295
80;"potsefoj";565
81;"dehezawu";62
82;"roclitoh";768
83;"dag";174
84;"fivepoziz";40
85;"gejunuf";996
86;"tafaz";530
87;"jud";661
88;"wavnivvov";585
89;"cibsil";370
90;"no";299
91;"ad";294
92;"nabostu";520
93;"kuwjuta";342
94;"wile";956
95;"fe";186
96;"haj";456
97;"nufpi";981
98;"na";418
99;"ene";676
100;"nat";421
101;"opgaf";371
