"orderNo";"customerNo";"dateCreated";"dateRequested";"dateFulfilled"
1;3;"2019-11-21 00:00:00";"";""
2;4;"2019-11-20 00:00:00";"";""
3;7;"2019-11-22 13:22:28";"";""
4;12;"2009-11-24 06:07:05";"2009-11-30 06:07:05";"2009-11-28 06:07:05"
5;58;"2009-11-24 07:02:28";"2009-11-30 07:02:28";"2009-11-28 07:02:28"
6;37;"2009-11-25 07:31:48";"2009-12-06 07:31:48";"2009-12-03 07:31:48"
7;86;"2009-11-26 01:09:09";"2009-12-02 01:09:09";"2009-11-29 01:09:09"
8;66;"2009-11-26 16:16:42";"2009-12-02 16:16:42";"2009-11-29 16:16:42"
9;21;"2009-11-26 17:04:49";"2009-12-05 17:04:49";"2009-12-02 17:04:49"
10;52;"2009-11-29 10:33:10";"2009-12-08 10:33:10";"2009-12-06 10:33:10"
11;32;"2009-11-29 17:52:57";"2009-12-12 17:52:57";"2009-12-09 17:52:57"
12;93;"2009-12-02 02:15:21";"2009-12-15 02:15:21";"2009-12-12 02:15:21"
13;84;"2009-12-02 19:59:04";"2009-12-07 19:59:04";"2009-12-05 19:59:04"
14;18;"2009-12-05 11:14:52";"2009-12-14 11:14:52";"2009-12-11 11:14:52"
15;45;"2009-12-09 05:00:29";"2009-12-16 05:00:29";"2009-12-14 05:00:29"
16;45;"2009-12-09 11:40:21";"2009-12-16 11:40:21";"2009-12-13 11:40:21"
17;25;"2009-12-14 03:34:02";"2009-12-21 03:34:02";"2009-12-18 03:34:02"
18;2;"2009-12-14 03:46:26";"2009-12-21 03:46:26";"2009-12-18 03:46:26"
19;68;"2009-12-14 20:06:11";"2009-12-27 20:06:11";"2009-12-24 20:06:11"
20;1;"2009-12-15 04:26:43";"2009-12-20 04:26:43";"2009-12-18 04:26:43"
21;61;"2009-12-17 04:21:50";"2009-12-25 04:21:50";"2009-12-23 04:21:50"
22;63;"2009-12-19 10:52:20";"2009-12-28 10:52:20";"2009-12-26 10:52:20"
23;46;"2009-12-20 20:08:35";"2009-12-26 20:08:35";"2009-12-24 20:08:35"
24;97;"2009-12-21 09:43:05";"2009-12-29 09:43:05";"2009-12-26 09:43:05"
25;2;"2009-12-22 03:12:11";"2010-01-03 03:12:11";"2009-12-31 03:12:11"
26;42;"2009-12-22 19:00:12";"2010-01-01 19:00:12";"2009-12-30 19:00:12"
27;31;"2009-12-24 05:06:34";"2010-01-03 05:06:34";"2009-12-31 05:06:34"
28;23;"2009-12-25 06:59:44";"2010-01-05 06:59:44";"2010-01-02 06:59:44"
29;80;"2009-12-25 12:14:29";"2010-01-04 12:14:29";"2010-01-01 12:14:29"
30;4;"2009-12-25 23:49:50";"2010-01-06 23:49:50";"2010-01-03 23:49:50"
31;69;"2009-12-26 08:52:47";"2010-01-06 08:52:47";"2010-01-04 08:52:47"
32;95;"2009-12-28 02:52:29";"2010-01-07 02:52:29";"2010-01-05 02:52:29"
33;22;"2009-12-30 17:14:53";"2010-01-11 17:14:53";"2010-01-08 17:14:53"
34;84;"2010-01-03 08:00:29";"2010-01-11 08:00:29";"2010-01-09 08:00:29"
35;25;"2010-01-04 03:47:08";"2010-01-10 03:47:08";"2010-01-07 03:47:08"
36;33;"2010-01-04 22:56:56";"2010-01-17 22:56:56";"2010-01-14 22:56:56"
37;17;"2010-01-05 08:19:52";"2010-01-11 08:19:52";"2010-01-09 08:19:52"
38;40;"2010-01-06 16:00:58";"2010-01-19 16:00:58";"2010-01-16 16:00:58"
39;7;"2010-01-07 17:45:19";"2010-01-16 17:45:19";"2010-01-14 17:45:19"
40;99;"2010-01-09 09:16:04";"2010-01-21 09:16:04";"2010-01-18 09:16:04"
41;23;"2010-01-15 08:29:24";"2010-01-24 08:29:24";"2010-01-22 08:29:24"
42;22;"2010-01-15 19:22:31";"2010-01-25 19:22:31";"2010-01-23 19:22:31"
43;75;"2010-01-19 00:02:13";"2010-01-26 00:02:13";"2010-01-23 00:02:13"
44;29;"2010-01-22 16:03:50";"2010-01-30 16:03:50";"2010-01-28 16:03:50"
45;30;"2010-01-24 07:39:28";"2010-01-30 07:39:28";"2010-01-27 07:39:28"
46;43;"2010-01-26 16:10:02";"2010-02-03 16:10:02";"2010-02-01 16:10:02"
47;105;"2010-01-26 17:17:18";"2010-02-08 17:17:18";"2010-02-05 17:17:18"
48;13;"2010-01-27 05:00:07";"2010-02-01 05:00:07";"2010-01-30 05:00:07"
49;74;"2010-01-28 02:58:32";"2010-02-07 02:58:32";"2010-02-05 02:58:32"
50;85;"2010-01-28 04:15:02";"2010-02-10 04:15:02";"2010-02-07 04:15:02"
51;42;"2010-01-30 12:24:45";"2010-02-07 12:24:45";"2010-02-05 12:24:45"
52;67;"2010-02-01 03:00:08";"2010-02-07 03:00:08";"2010-02-04 03:00:08"
53;86;"2010-02-01 15:35:36";"2010-02-09 15:35:36";"2010-02-07 15:35:36"
54;4;"2010-02-02 04:01:11";"2010-02-08 04:01:11";"2010-02-06 04:01:11"
55;87;"2010-02-02 15:32:17";"2010-02-09 15:32:17";"2010-02-07 15:32:17"
56;29;"2010-02-03 00:37:56";"2010-02-10 00:37:56";"2010-02-08 00:37:56"
57;14;"2010-02-05 12:36:09";"2010-02-12 12:36:09";"2010-02-09 12:36:09"
58;35;"2010-02-06 09:40:30";"2010-02-12 09:40:30";"2010-02-09 09:40:30"
59;50;"2010-02-06 20:16:50";"2010-02-17 20:16:50";"2010-02-14 20:16:50"
60;7;"2010-02-10 01:03:03";"2010-02-16 01:03:03";"2010-02-14 01:03:03"
61;65;"2010-02-11 06:08:58";"2010-02-18 06:08:58";"2010-02-15 06:08:58"
62;61;"2010-02-11 22:40:04";"2010-02-17 22:40:04";"2010-02-15 22:40:04"
63;41;"2010-02-14 06:23:22";"2010-02-26 06:23:22";"2010-02-24 06:23:22"
64;34;"2010-02-17 10:15:28";"2010-03-02 10:15:28";"2010-02-27 10:15:28"
65;77;"2010-02-17 18:23:08";"2010-03-01 18:23:08";"2010-02-27 18:23:08"
66;64;"2010-02-20 07:47:55";"2010-02-25 07:47:55";"2010-02-23 07:47:55"
67;49;"2010-02-21 04:44:50";"2010-03-02 04:44:50";"2010-02-28 04:44:50"
68;86;"2010-02-24 08:28:39";"2010-03-07 08:28:39";"2010-03-05 08:28:39"
69;87;"2010-02-24 13:26:04";"2010-03-09 13:26:04";"2010-03-06 13:26:04"
70;53;"2010-02-25 06:52:05";"2010-03-07 06:52:05";"2010-03-05 06:52:05"
71;41;"2010-02-28 04:20:49";"2010-03-07 04:20:49";"2010-03-04 04:20:49"
72;87;"2010-02-28 07:13:38";"2010-03-06 07:13:38";"2010-03-04 07:13:38"
73;88;"2010-03-01 19:03:18";"2010-03-12 19:03:18";"2010-03-10 19:03:18"
74;105;"2010-03-07 08:56:54";"2010-03-18 08:56:54";"2010-03-15 08:56:54"
75;7;"2010-03-07 11:29:32";"2010-03-13 11:29:32";"2010-03-11 11:29:32"
76;90;"2010-03-08 19:44:27";"2010-03-18 19:44:27";"2010-03-16 19:44:27"
77;20;"2010-03-10 03:35:56";"2010-03-21 03:35:56";"2010-03-18 03:35:56"
78;36;"2010-03-11 22:42:06";"2010-03-18 22:42:06";"2010-03-16 22:42:06"
79;68;"2010-03-12 21:08:50";"2010-03-18 21:08:50";"2010-03-16 21:08:50"
80;16;"2010-03-13 18:08:10";"2010-03-24 18:08:10";"2010-03-21 18:08:10"
81;6;"2010-03-16 00:39:13";"2010-03-27 00:39:13";"2010-03-25 00:39:13"
82;7;"2010-03-16 02:54:58";"2010-03-23 02:54:58";"2010-03-21 02:54:58"
83;35;"2010-03-16 20:32:59";"2010-03-23 20:32:59";"2010-03-21 20:32:59"
84;2;"2010-03-17 13:07:51";"2010-03-23 13:07:51";"2010-03-20 13:07:51"
85;80;"2010-03-18 08:03:00";"2010-03-29 08:03:00";"2010-03-26 08:03:00"
86;83;"2010-03-19 00:40:59";"2010-03-26 00:40:59";"2010-03-23 00:40:59"
87;82;"2010-03-23 11:14:22";"2010-04-04 11:14:22";"2010-04-02 11:14:22"
88;18;"2010-03-25 02:17:13";"2010-04-05 02:17:13";"2010-04-02 02:17:13"
89;63;"2010-03-25 03:44:59";"2010-03-30 03:44:59";"2010-03-28 03:44:59"
90;29;"2010-03-25 08:58:31";"2010-04-05 08:58:31";"2010-04-03 08:58:31"
91;3;"2010-03-27 19:52:13";"2010-04-09 19:52:13";"2010-04-06 19:52:13"
92;56;"2010-03-29 23:48:34";"2010-04-10 23:48:34";"2010-04-08 23:48:34"
93;55;"2010-04-02 01:44:39";"2010-04-14 01:44:39";"2010-04-11 01:44:39"
94;5;"2010-04-02 05:25:52";"2010-04-13 05:25:52";"2010-04-10 05:25:52"
95;35;"2010-04-02 12:48:42";"2010-04-13 12:48:42";"2010-04-10 12:48:42"
96;20;"2010-04-02 14:25:32";"2010-04-14 14:25:32";"2010-04-11 14:25:32"
97;23;"2010-04-02 17:59:47";"2010-04-10 17:59:47";"2010-04-08 17:59:47"
98;35;"2010-04-07 23:51:17";"2010-04-19 23:51:17";"2010-04-16 23:51:17"
99;65;"2010-04-11 08:06:08";"2010-04-17 08:06:08";"2010-04-14 08:06:08"
100;76;"2010-04-12 12:29:12";"2010-04-20 12:29:12";"2010-04-17 12:29:12"
101;8;"2010-04-14 21:04:12";"2010-04-20 21:04:12";"2010-04-18 21:04:12"
102;104;"2010-04-15 22:41:41";"2010-04-28 22:41:41";"2010-04-25 22:41:41"
103;50;"2010-04-16 01:26:59";"2010-04-26 01:26:59";"2010-04-24 01:26:59"
104;42;"2010-04-17 09:53:20";"2010-04-25 09:53:20";"2010-04-23 09:53:20"
105;104;"2010-04-23 02:50:14";"2010-05-06 02:50:14";"2010-05-03 02:50:14"
106;1;"2010-05-01 12:08:22";"2010-05-11 12:08:22";"2010-05-08 12:08:22"
107;6;"2010-05-03 01:52:55";"2010-05-11 01:52:55";"2010-05-08 01:52:55"
108;85;"2010-05-03 02:51:20";"2010-05-13 02:51:20";"2010-05-10 02:51:20"
109;45;"2010-05-04 09:36:06";"2010-05-12 09:36:06";"2010-05-09 09:36:06"
110;27;"2010-05-05 15:35:34";"2010-05-11 15:35:34";"2010-05-08 15:35:34"
111;92;"2010-05-06 20:07:50";"2010-05-13 20:07:50";"2010-05-11 20:07:50"
112;82;"2010-05-09 05:08:47";"2010-05-22 05:08:47";"2010-05-19 05:08:47"
113;89;"2010-05-09 23:23:47";"2010-05-15 23:23:47";"2010-05-12 23:23:47"
114;101;"2010-05-10 17:47:53";"2010-05-15 17:47:53";"2010-05-13 17:47:53"
115;74;"2010-05-12 05:39:48";"2010-05-24 05:39:48";"2010-05-21 05:39:48"
116;50;"2010-05-12 23:55:10";"2010-05-19 23:55:10";"2010-05-17 23:55:10"
117;10;"2010-05-15 15:21:58";"2010-05-20 15:21:58";"2010-05-18 15:21:58"
118;65;"2010-05-15 18:10:50";"2010-05-27 18:10:50";"2010-05-24 18:10:50"
