"orderNo";"recipeNo";"qty";"dateStarted";"dateFinished";"discountMultiple"
1;81;4;"2014-05-04 00:00:00";"2019-11-23 12:34:52";0.35
1;130;154;"2018-01-03 00:00:00";"2018-01-08 00:00:00";0.18
1;362;43;"2009-02-09 00:00:00";"2009-02-11 00:00:00";0.0
1;389;197;"2015-10-01 00:00:00";"2015-10-04 00:00:00";0.16
1;494;172;"2010-08-05 00:00:00";"2010-08-07 00:00:00";1.43
1;1609;192;"2010-10-20 00:00:00";"2010-10-23 00:00:00";1.3
2;723;156;"2017-07-06 00:00:00";"2017-07-09 00:00:00";0.93
2;1112;33;"2013-06-09 00:00:00";"2013-06-12 00:00:00";0.38
2;1347;39;"2011-01-11 00:00:00";"2011-01-14 00:00:00";1.02
2;1380;187;"2010-04-25 00:00:00";"2010-04-27 00:00:00";0.73
2;1638;45;"2010-06-19 00:00:00";"2010-06-22 00:00:00";1.14
2;1844;51;"2019-10-07 00:00:00";"2019-10-12 00:00:00";1.33
2;1914;148;"2017-11-20 00:00:00";"2017-11-22 00:00:00";1.13
3;663;33;"2017-02-22 00:00:00";"2017-02-27 00:00:00";0.97
4;115;115;"2009-05-10 00:00:00";"2009-05-14 00:00:00";1.29
4;561;7;"2017-02-03 00:00:00";"2017-02-06 00:00:00";1.2
4;1410;165;"2016-10-16 00:00:00";"2016-10-20 00:00:00";0.13
4;1454;141;"2011-06-10 00:00:00";"2011-06-13 00:00:00";0.21
5;338;6;"2016-05-31 00:00:00";"2016-06-02 00:00:00";1.03
6;197;174;"2016-06-30 00:00:00";"2016-07-05 00:00:00";1.08
6;1061;56;"2011-05-04 00:00:00";"2011-05-06 00:00:00";1.13
6;1248;47;"2014-06-29 00:00:00";"2014-07-04 00:00:00";0.9
6;1387;155;"2011-09-23 00:00:00";"2011-09-25 00:00:00";0.36
7;405;85;"2018-01-23 00:00:00";"2018-01-27 00:00:00";0.93
7;494;199;"2014-10-23 00:00:00";"2014-10-25 00:00:00";1.13
7;1648;90;"2010-08-13 00:00:00";"2010-08-15 00:00:00";1.16
8;337;15;"2013-11-11 00:00:00";"2013-11-15 00:00:00";1.45
8;1168;185;"2016-07-04 00:00:00";"2016-07-08 00:00:00";1.18
9;69;9;"2010-01-11 00:00:00";"2010-01-16 00:00:00";1.33
9;472;28;"2015-05-13 00:00:00";"2015-05-17 00:00:00";0.51
9;554;111;"2014-01-10 00:00:00";"2014-01-12 00:00:00";0.73
9;906;190;"2012-06-08 00:00:00";"2012-06-13 00:00:00";1.39
