"recipeNO";"recipeName";"categoryNo";"instructions";"qtyPerRecipe";"estPrepTime";"estCookTime";"qtyOnHand";"stdSellingPrice"
1;"Red Velvet Cake";2;"";0;0;0;0;0.0
2;"nokvagi";82;"Z*^#^hg)wAeIMzSqfNG@*dQCpL#V&kHbxDuZ#p8f@35xVoxgt^GL(rEaJXkmTiFC92mPpb3G5c9^R0Qje42T(yTEuP[K%$jayZ4qO9yoA8RPlL2NVryzMHqohyY7%EKQWF&b))Rm5@pQez4iGPE^[h";34;11;115;814;326.72
4;"nokvagi";82;"Z*^#^hg)wAeIMzSqfNG@*dQCpL#V&kHbxDuZ#p8f@35xVoxgt^GL(rEaJXkmTiFC92mPpb3G5c9^R0Qje42T(yTEuP[K%$jayZ4qO9yoA8RPlL2NVryzMHqohyY7%EKQWF&b))Rm5@pQez4iGPE^[h";34;11;115;814;326.72
6;"nokvagi";82;"Z*^#^hg)wAeIMzSqfNG@*dQCpL#V&kHbxDuZ#p8f@35xVoxgt^GL(rEaJXkmTiFC92mPpb3G5c9^R0Qje42T(yTEuP[K%$jayZ4qO9yoA8RPlL2NVryzMHqohyY7%EKQWF&b))Rm5@pQez4iGPE^[h";34;11;115;814;326.72
7;"atiobimu";17;"T#]479^7qn[B&]BsMj0pb]lpH(t]*mtq6fKq6PMVxe9ub%pLko6#hfk^mpgd6Bpz4Dptfv^rQhZ]^1q4rqkRDSZLf@)$@1lcS0JzP(Bc2bHaYPRgGh8^0s3mF4yL0t&PA$bV[!dFnmEqaRC$pCqtQG";25;36;58;25;301.5
8;"gulahcih";90;"r**Ei^$dTTJWS6J%MTd#AL$w(YbwBTW&qvaD0%BRjViTclrNexP5Tbaj1Q5oORc&VvC$uDuOCrF7iwJbI[WL]YS&^e#h[F8)uc%Q9]@p8^2f*0Qc5Q02()$H@TXUb]T1i7Z1*UYNh!jh7CYWL%j6zx";5;7;14;917;121.1
9;"iwepamna";50;"LqIxqSiLV)e1zsjQOzK3cmply]T)W180&Z)bZTVYSQnNGg@#zZN@*Y9JE^dcX!QYGsJSSra#sMfh2nNd8om%#5UUr(o$hzvSps1kElXZJb$!6biyobuYmEO)%h60ZyZKp$nu2jC5$WKEh2&S2$zVX3";32;60;5;809;495.72
10;"imunikesa";99;"&dGd*oOYmQpLf@LQM)bYnq5QDFcVTscqZ@g0k0^YS(6WGTPs&&QjI04Z8j%5HK4wFDTUUKPh3BD)iBeYNUbyT^%FiRwf95&v(JReqq]4DI1sR5PWC@#^&i^y2P2F24t3xcoNnfFBdl(nsIboFrZqqP";24;36;77;312;170.29
11;"oc";104;"8aitqN9@IuGSre#va5RVRi#yl4K58DjvI7fkfNUp2!b#hVDoF8w!k@Rs1[0[u5[l40FLY%8*[GTe1FDbd7SQ[XmF08ZRPRp[*GeYf$@8GEkjlTr@LE@kWwvmW^wun^e4kphzyHdahYhayOGk&@fyfe";19;60;116;160;70.51
12;"ba";51;"ALf4k*H0W5Hg&Y(I)F@m4W[GREWMnW!CLEO804qJvkmdTrb$pI)@ioESV8q]t&gVagG7qAnGA9)HRJHBWMR]8!jdF*n707YS[LckkFku&aE0&o70dvsoZimo![6^WryBsE75OQlFDn#rWD$6uxQzTX";49;55;13;111;211.79
13;"dopkafaf";74;"QmwukzFk@girOKQ79qdksYOg3%!ZJ6xaP@@PXG!]*u]hZfq5gX@GAdfe3jeLUbXgTjK%UsznEmRpRC1W3$IyMQSMv27RG7k4w4W#EUCxwWmvo3%Q!CCwIerq@6OnZqC7)WbmmZ@)38ba4G6RlqV5JA";38;52;75;83;66.76
14;"gidided";32;"Ej!DbmgQv6aIQ2F71WRtXLMMTadtk(lyRleTyrOcqJ0u(562mriygQ7OOU00@I@0EcP^No6i0l0FmLy4u%LOOTy2)3dnDelC2Z9y4aODql0Suhels35KGxq]0%lkc7de]#14uRZzM&T$LaE!r$tA96";7;13;105;951;299.56
15;"zolekome";81;"HKO7TSn!2N#d)GI8sbMqnMkw[Pt*3xcZG%@XX#jQwcRpjvlQLfb%!#(RrmFxvf#yedxq1$8knvx)^h9G%]E)Fvu2hkJ#LhZo)T@Y6i*e[oYNve05@y$l)L]L^ecYy]APeU4qQirNlZTc6Am6VUni$q";24;13;14;947;349.41
16;"lodjopon";58;"@cVp^^!86zj[CmXZ0bCFO5O(oor6Y2fbfPwOSvm[XMhYYo[bjag@HHo&&UvzqjAP3qOS]$kUK#zmGV5zHG8rPHVck0)BPsg[Dvqmy1J5EF%yND[GCg0g6(Fv[942QJvXTc4(B2$&8Bc4BVC@kBi%HN";15;10;74;756;20.88
17;"wacuw";77;"dPo4wKLDmH[@@q[e)gMaVSLns)&W5Ka@aSaGQU[6$LYv3QbCaoOosZuPVWe*vt4o^Z%yJT&UW3#OWNkByVjb0EZHuS^^Q^#F195^h%#lusBeI^V4E80t[pM(51Qd6GhVqdv@v2nbklaYNW%hYP&sDp";38;50;3;359;167.69
18;"jekopvos";21;"(4$F@zwx!zAWDDdSug#[Ct%lb3ba2IpY&1[lg)W@74Uga$gaR99Bj#cGTe6yGZ9lfWm4vHdOgqRWdQ7I!0oL62dhmG@2[OnQnpUay*gZN@ySQqrNar(*Cz5bmheh%QvJcRqnXVRnI*[vE^1^u8iSb&";37;59;11;442;367.18
19;"de";31;"gzDjgOVl1I728JDGZwWETUqvnUivYk^IFURA(yqvuSJCsI7xW*#iy@eI%Jm(IeD@&VM@ghRLxG31Y)MS]@4X7vzY92^dbkS]Re1pU7V42ek&lS5X9SCo[6ReIetKOfxC]60DTITtmVG&H&0THU#eSb";31;52;83;425;463.6
